TABLE WeatherFileClimateZone,,,,,,,,,,,,
WthrStationNum,WthrFile,CliZn,Lat,Long,Elevation,DsgnWB,DsgnWBDay,EPWHash,DDYHash,,,
//Weather Station Number,Weather Station Name,Climate Zone (1-16),Latitude (degrees),Longitude (degrees),Elevation (ft),Design WetBulb (F),Design Day Name,(SHA-256),(SHA-256),,SymVals,Old Elevations
725847,SOUTH-LAKE-TAHOE_725847,16,38.88,-120,6263,58.1,JUL,c17a7e5afae4259a17087ae459de19210c67d00265bdbc8a131b0cfa07c5b3c2,64700ad85702a7d06f5c017e8d9076d39aff8796b1774297f4bf592a12c98fda,//,79,6263.12336
724800,BISHOP_724800,16,37.37,-118.33,4101,65.5,AUG,5af658027a1c34ac8e0818350569ca8b5edfe4ed3c479809303a41738d2be628,dc314c9e47c16abb2788c3d164d4ad4a0ecf1dec87e3c1d78671b9bc370c4ffc,//,80,4101.049869
723830,SANDBERG_723830,16,34.75,-118.72,4514,66.2,AUG,e903f07a4abb978b099cfe3360f1cdded152994813bfcfbd1ba01826e5f62609,75ad0a172d259ee876fc36aaefe824096ff258a52232ee081bf23fb54177c805,//,81,4514.435696
725958,ALTURAS_725958,16,41.5,-120.52,4400,63.5,JUL,c382f320e860e7735e369f033be7056ff623e447044333d37e3452fd556650a1,d6dfb43f671f56f55d92195b60f5c1ef0e9d779f7e2c3414c232eb4b4f93b313,//,82,4399.606299
725846,TRUCKEE-TAHOE_725846,16,39.32,-120.12,5899,60.4,JUL,e2575e6101078ce6295df56a4b1322110abb8c2b67a3a1ef45ff038e74ebe2f5,d0d24341b0d14eaf39ce8d30117da965492642539204f2d49953849e9b3582f9,//,83,5898.950131
725845,BLUE-CANYON_725845,16,39.28,-120.72,5279,61.0,JUN,37d7ff598d1e6a7d2ddca2740d4b4f1cd23393256bd720621a8767a00f81e2c2,b6a5055537626eaabcf453f9c6022f188907e1abf5b7c37704f6dd0b2db1ef1a,//,84,5278.871391
725955,MONTAGUE-SISKIYOU-CO_725955,16,41.77,-122.47,2635,68.0,JUL,4f2ae04b4571607389533784623236a30e4c1df403514ce10e19df60c89a40e2,8d401ac01446d6c8ddc76599513aa9e0a104c9c5c73138db1a1a136978272c6e,//,85,2634.514436
725957,MOUNT-SHASTA_725957,16,41.32,-122.32,3533,68.2,JUL,516116584c2580b9986e524b5bd4cb0467b249003a153ae0bdd2726b60a0815e,e53ba01fd2ed57063d87b168e212818de420981ce2efb89fce7348c28f41a9ee,//,86,3533.464567
*,*,0,0,0,0.00,75.0,Default,,,//,ERROR,
ENDTABLE,,,,,,,,,,,,
