TABLE HotSmlS901GElectric070032CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
FrontStairs Flr4_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-25,Resistance,BaseZnSys2-25,FrontStairsFlr4 Thermal Zone,3591.4,3591.4,0,-99996,-99996,,,
FrontStorage Flr4_PTHP CoilHtg,BaseSys2 CoilHtg-26,HeatPump,BaseZnSys2-26,FrontStorageFlr4 Thermal Zone,2006.889,1930.887,0,-99996,-99996,,,
FrontStorage Flr4_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-26,Resistance,BaseZnSys2-26,FrontStorageFlr4 Thermal Zone,1966.138,1966.138,0,-99996,-99996,,,
RearStairs Flr4_PTHP CoilHtg,BaseSys2 CoilHtg-27,HeatPump,BaseZnSys2-27,RearStairsFlr4 Thermal Zone,3650.404,3511.813,0,-99996,-99996,,,
RearStairs Flr4_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-27,Resistance,BaseZnSys2-27,RearStairsFlr4 Thermal Zone,3889.475,3889.475,0,-99996,-99996,,,
RearStorage Flr4_PTHP CoilHtg,BaseSys2 CoilHtg-28,HeatPump,BaseZnSys2-28,RearStorageFlr4 Thermal Zone,3745.454,3603.275,0,-99996,-99996,,,
RearStorage Flr4_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-28,Resistance,BaseZnSys2-28,RearStorageFlr4 Thermal Zone,3889.838,3889.838,0,-99996,-99996,,,
GuestRoom101_PTHP CoilHtg,BaseSys2 CoilHtg-29,HeatPump,BaseZnSys2-29,GuestRoom101 Thermal Zone,5798.613,5579.013,0,-99996,-99996,,,
GuestRoom 101_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-29,Resistance,BaseZnSys2-29,GuestRoom101 Thermal Zone,5657.037,5657.037,0,-99996,-99996,,,
GuestRoom102_PTHP CoilHtg,BaseSys2 CoilHtg-30,HeatPump,BaseZnSys2-30,GuestRoom102 Thermal Zone,5761.246,5543.075,0,-99996,-99996,,,
