;,,41,StdFrameExtFloorCons - construction used to model std design framed floors,,,,,,,,,,,,,,,,,standard design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,42,StdConcExtFloorCons - construction used to model std design concrete floors,,,,,,,,,,SAC 9/17/15 - added,,,,,,,standard design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,43,StdFlrOvrCrawlCons - construction used to model std design floor over crawlspace,,,,,,,,,,,,,,,,,standard design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,44,StdConcFlrOvrCrawlCons - construction used to model std design concrete floors over crawlspace,,,,,,,,,,SAC 9/17/15 - added,,,,,,,standard design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,45,StdFrameIntFloorCons - construction used to model std design interior floor,,,,,,,,,,,,,,,,,standard design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,46,sfHtgDRPFuelTDVMult - multiplier on SFam heating fuel TDV used only in calculating final design rating ,,,,,,,,,,SAC 3/14/16 - added,,,,,,,design rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,47,sfClgDRPFuelTDVMult - multiplier on SFam cooling fuel TDV used only in calculating final design rating ,,,,,,,,,,SAC 3/14/16 - added,,,,,,,design rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,48,sfDHWDRPFuelTDVMult - multiplier on SFam DHW fuel TDV used only in calculating final design rating ,,,,,,,,,,SAC 3/14/16 - added,,,,,,,design rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,49,sfAppDRPFuelTDVMult - multiplier on SFam appliance fuel TDV used only in calculating final design rating ,,,,,,,,,,SAC 3/14/16 - added,,,,,,,design rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,50,mfHtgDRPFuelTDVMult - multiplier on MFam heating fuel TDV used only in calculating final design rating ,,,,,,,,,,SAC 4/7/16 - added,,,,,,,design rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,51,mfClgDRPFuelTDVMult - multiplier on MFam cooling fuel TDV used only in calculating final design rating ,,,,,,,,,,SAC 4/7/16 - added,,,,,,,design rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,52,mfDHWDRPFuelTDVMult - multiplier on MFam DHW fuel TDV used only in calculating final design rating ,,,,,,,,,,SAC 4/7/16 - added,,,,,,,design rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,53,mfAppDRPFuelTDVMult - multiplier on MFam appliance fuel TDV used only in calculating final design rating ,,,,,,,,,,SAC 4/7/16 - added,,,,,,,design rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,54,sfMinZNETier - Minimum tier for single family models being classified as zero net energy (ZNE),,,,,,,,,,SAC 3/21/16 - added,,,,,,,Calgreen code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,55,mfMinZNETier - Minimum tier for multifamily models being classified as zero net energy (ZNE),,,,,,,,,,SAC 3/21/16 - added,,,,,,,Calgreen code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,Rate,Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,(kTDV/kWdc),(% clg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFam Design Rating Non-Elec Prop TDV Mults,,,,MFam Design Rating Non-Elec Prop TDV Mults,,,,Min ZNE Tiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TABLE CAClimateZoneCodeBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ClimateZone,CodeBase,WHFan,WHFcfmpersf,WHFatticrelief,WHFcfmdivisor,PVRate,sfPVMax,mfPVMax,CFMperTon,VerifyCharge,WperCFM,sfACH50,mfACH50,DuctRval,AltDuctRval,DuctLkg,exDuctLkg,WallUval,AltUfactor,AltSHGC,AltSkyUfactor,AltSkySHGC,CeilIns,FloorIns,ConcFloorIns,SlabEdgeIns,HtSlabEdgeIns,WindowUfactor,WindowSHGC,WindowFrac,RadiantBarrier,SteepRoofReflect,FlatRoofReflect,RoofAboveDeckIns,RoofBelowDeckIns,StdFrameExtWallCons,StdFrameIntWallCons,StdMassExtWallCons,StdMassUndWallCons,StdCeilCons,StdRoofCons,StdFrameExtFloorCons,StdConcExtFloorCons,StdFlrOvrCrawlCons,StdConcFlrOvrCrawlCons,StdFrameIntFloorCons,sfHtgDRPFuelTDVMult,sfClgDRPFuelTDVMult,sfDHWDRPFuelTDVMult,sfAppDRPFuelTDVMult,mfHtgDRPFuelTDVMult,mfClgDRPFuelTDVMult,mfDHWDRPFuelTDVMult,mfAppDRPFuelTDVMult,sfMinZNETier,mfMinZNETier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
