TABLE HotSmlCECStd16070012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
BaseSys5 CoilHtg-3,BaseSys5 CoilHtg-3,HotWater,BaseAirSys5-3,NONE,9330.662,9330.662,0.46636,-99996,-99996,,,
BaseSys5 CoilHtg-4,BaseSys5 CoilHtg-4,HotWater,BaseAirSys5-4,NONE,8736.725,8736.725,0.43667,-99996,-99996,,,
GuestRoom101_FPFC CoilHtg,BaseSys2 CoilHtg,HotWater,BaseZnSys2,GuestRoom101 Thermal Zone,5432.075,5432.075,0.2715,-99996,-99996,,,
GuestRoom102_FPFC CoilHtg,BaseSys2 CoilHtg-2,HotWater,BaseZnSys2-2,GuestRoom102 Thermal Zone,5630.825,5630.825,0.28143,-99996,-99996,,,
GuestRoom103_FPFC CoilHtg,BaseSys2 CoilHtg-3,HotWater,BaseZnSys2-3,GuestRoom103 Thermal Zone,5481.912,5481.912,0.27399,-99996,-99996,,,
GuestRoom104_FPFC CoilHtg,BaseSys2 CoilHtg-4,HotWater,BaseZnSys2-4,GuestRoom104 Thermal Zone,5466.362,5466.362,0.27321,-99996,-99996,,,
GuestRoom105_FPFC CoilHtg,BaseSys2 CoilHtg-5,HotWater,BaseZnSys2-5,GuestRoom105 Thermal Zone,5430.538,5430.538,0.27142,-99996,-99996,,,
GuestRoom201_FPFC CoilHtg,BaseSys2 CoilHtg-6,HotWater,BaseZnSys2-6,GuestRoom201 Thermal Zone,5309.963,5309.963,0.2654,-99996,-99996,,,
GuestRoom202_205_FPFC CoilHtg,BaseSys2 CoilHtg-7,HotWater,BaseZnSys2-7,GuestRoom202_205 Thermal Zone,3969.891,3969.891,0.19842,-99996,-99996,,,
GuestRoom206_208_FPFC CoilHtg,BaseSys2 CoilHtg-8,HotWater,BaseZnSys2-8,GuestRoom206_208 Thermal Zone,4148.142,4148.142,0.20733,-99996,-99996,,,
GuestRoom209_212_FPFC CoilHtg,BaseSys2 CoilHtg-9,HotWater,BaseZnSys2-9,GuestRoom209_212 Thermal Zone,3949.906,3949.906,0.19742,-99996,-99996,,,
GuestRoom213_FPFC CoilHtg,BaseSys2 CoilHtg-10,HotWater,BaseZnSys2-10,GuestRoom213 Thermal Zone,4512.2,4512.2,0.22552,-99996,-99996,,,
GuestRoom214_FPFC CoilHtg,BaseSys2 CoilHtg-11,HotWater,BaseZnSys2-11,GuestRoom214 Thermal Zone,4507.362,4507.362,0.22528,-99996,-99996,,,
GuestRoom215_218_FPFC CoilHtg,BaseSys2 CoilHtg-12,HotWater,BaseZnSys2-12,GuestRoom215_218 Thermal Zone,3920.413,3920.413,0.19595,-99996,-99996,,,
GuestRoom219_FPFC CoilHtg,BaseSys2 CoilHtg-13,HotWater,BaseZnSys2-13,GuestRoom219 Thermal Zone,4301.088,4301.088,0.21497,-99996,-99996,,,
GuestRoom220_223_FPFC CoilHtg,BaseSys2 CoilHtg-14,HotWater,BaseZnSys2-14,GuestRoom220_223 Thermal Zone,3837.066,3837.066,0.19178,-99996,-99996,,,
GuestRoom224_FPFC CoilHtg,BaseSys2 CoilHtg-15,HotWater,BaseZnSys2-15,GuestRoom224 Thermal Zone,4234.788,4234.788,0.21166,-99996,-99996,,,
GuestRoom301_FPFC CoilHtg,BaseSys2 CoilHtg-16,HotWater,BaseZnSys2-16,GuestRoom301 Thermal Zone,5550.063,5550.063,0.2774,-99996,-99996,,,
GuestRoom302_305_FPFC CoilHtg,BaseSys2 CoilHtg-17,HotWater,BaseZnSys2-17,GuestRoom302_305 Thermal Zone,4136.847,4136.847,0.20676,-99996,-99996,,,
GuestRoom306_308_FPFC CoilHtg,BaseSys2 CoilHtg-18,HotWater,BaseZnSys2-18,GuestRoom306_308 Thermal Zone,4396.721,4396.721,0.21975,-99996,-99996,,,
GuestRoom309_312_FPFC CoilHtg,BaseSys2 CoilHtg-19,HotWater,BaseZnSys2-19,GuestRoom309_312 Thermal Zone,4111.116,4111.116,0.20548,-99996,-99996,,,
GuestRoom313_FPFC CoilHtg,BaseSys2 CoilHtg-20,HotWater,BaseZnSys2-20,GuestRoom313 Thermal Zone,4592,4592,0.22951,-99996,-99996,,,
